dataset,cell_type,gene_set,k,n_cells,max_rank,median_detected,depth_ratio,tie_break_inclusion,mean_tie_break,mean_detected_part,mean_total,score_tie_break_share
gse161529,0,BIOCARTA_41BB_PATHWAY,18,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012009524282780095,0.028593006691843902,0.040602530974624,0.29578265183236674
gse161529,0,BIOCARTA_ACE2_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012126358882620064,0.0006977546901518279,0.012824113572771889,0.9455904155720131
gse161529,0,BIOCARTA_ACETAMINOPHEN_PATHWAY,5,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012173434704830054,0.0003332737030411449,0.012506708407871199,0.9733524047917039
gse161529,0,BIOCARTA_ACH_PATHWAY,14,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012402589658403611,0.017601563165516657,0.030004152823920265,0.41336243456658683
gse161529,0,BIOCARTA_ACTINY_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012264944841979727,0.07275009938382031,0.08501504422580004,0.14426793461877196
gse161529,0,BIOCARTA_AGPCR_PATHWAY,11,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012022469778283732,0.0358230742126091,0.04784554399089283,0.2512766869276719
gse161529,0,BIOCARTA_AGR_PATHWAY,33,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012128683977521187,0.03742489293652085,0.049553576914042025,0.2447590009205627
gse161529,0,BIOCARTA_AHSP_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01201467822576946,0.009343653960827486,0.021358332186596947,0.5625288585645776
gse161529,0,BIOCARTA_AKAP13_PATHWAY,11,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011747926492112539,0.030893315986339244,0.04264124247845179,0.27550619562854445
gse161529,0,BIOCARTA_AKAP95_PATHWAY,11,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012397896676966445,0.04482289803220035,0.0572207947091668,0.21666767719638635
gse161529,0,BIOCARTA_AKAPCENTROSOME_PATHWAY,14,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012318372518953914,0.03713002598177017,0.049448398500724085,0.24911570227645558
gse161529,0,BIOCARTA_AKT_PATHWAY,22,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011985336369057301,0.03490852171084729,0.046893858079904586,0.2555843528300644
gse161529,0,BIOCARTA_ALK_PATHWAY,37,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012248231236603329,0.007863027607213654,0.020111258843816985,0.609023598757416
gse161529,0,BIOCARTA_ALTERNATIVE_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012157208639766779,0.01706570926919764,0.02922291790896442,0.41601624716734514
gse161529,0,BIOCARTA_AMAN_PATHWAY,15,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01185897435897436,0.0037016298946531507,0.01556060425362751,0.7621152858642863
gse161529,0,BIOCARTA_AMI_PATHWAY,20,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012223173822301729,0.0016237701252236137,0.013846943947525343,0.8827344046905161
