test,model,term,n,coef,se,z,p
naive,product alone,intercept,1080,-0.16056138390677321,0.10248903720188178,-1.5666200824045324,0.11720352088169549
naive,product alone,product,1080,3.6230025531628036,0.21685396909340302,16.70710740646997,1.1634388979418962e-62
naive,share alone,intercept,1080,-0.43195653739068607,0.06401626813284836,-6.74760572569269,1.5030471036143766e-11
naive,share alone,share,1080,-0.4474656637210294,0.07098342079778096,-6.3038052927285495,2.9042530263664094e-10
naive,product and share,intercept,1080,-0.15136712500472585,0.10362643579516878,-1.4606999058032142,0.14409781492874588
naive,product and share,product,1080,3.612009320474134,0.21728709583243985,16.623211362995626,4.732812969632734e-62
naive,product and share,share,1080,-0.06369085239253763,0.09838916612803547,-0.6473360319941696,0.5174144863299367
