test,k,n,rate,ci_low,ci_high
random (two-sided),403,480,0.8395833333333333,0.8040751429059796,0.8696990840311007
random (lower),0,480,0.0,0.0,0.00793978855890027
random (upper),410,480,0.8541666666666666,0.8197803827307627,0.8829289337066829
expression (two-sided),446,480,0.9291666666666667,0.9026469282103202,0.9488714199432904
expression (lower),0,480,0.0,0.0,0.00793978855890027
expression (upper),456,480,0.95,0.9266810675574659,0.9661731227395236
codetection (two-sided),444,480,0.925,0.8979146330059846,0.9453365467189503
codetection (lower),0,480,0.0,0.0,0.00793978855890027
codetection (upper),455,480,0.9479166666666666,0.9242446295143593,0.9644759765682925
