depth_programme_loading,detection,naive_rate,n
0.0,0.01,0.1,120
0.0,0.05,0.03333333333333333,120
0.0,0.15,0.058333333333333334,120
0.3,0.01,0.175,120
0.3,0.05,0.31666666666666665,120
0.3,0.15,0.8333333333333334,120
0.6,0.01,0.44166666666666665,120
0.6,0.05,0.6416666666666667,120
0.6,0.15,1.0,120
