depth_programme_loading,detection,codetection_rate,n
0.0,0.01,0.11666666666666667,120
0.0,0.05,0.05,120
0.0,0.15,0.058333333333333334,120
0.3,0.01,0.08333333333333333,120
0.3,0.05,0.058333333333333334,120
0.3,0.15,0.10833333333333334,120
0.6,0.01,0.05,120
0.6,0.05,0.075,120
0.6,0.15,0.25,120
