tie_break_share_low,tie_break_share_high,n,rate,ci_low,ci_high
-0.0009872,0.0243,100,0.15,0.09305903191162297,0.23283733332157835
0.0243,0.0683,100,0.31,0.22779563206132378,0.40626239477955695
0.0683,0.136,100,0.36,0.2727107459049014,0.45764780018837914
0.136,0.2,100,0.46,0.36560643853331865,0.5573531460647615
0.2,0.277,100,0.48,0.38464384320080547,0.5768359490982345
0.277,0.46,100,0.45,0.3561437510640346,0.5475557296835656
