tie_break_share_low,tie_break_share_high,n,rate,ci_low,ci_high
0.00258,0.0312,180,0.5833333333333334,0.5103039582942271,0.6528800000699299
0.0312,0.0571,180,0.5444444444444444,0.47151816368939986,0.6155132807714838
0.0571,0.0972,180,0.5111111111111111,0.438618730048297,0.5831391310669239
0.0972,0.184,180,0.22777777777777777,0.1725736294293337,0.2943587732477535
0.184,0.361,180,0.25,0.19241213947059008,0.318035985436939
0.361,0.703,180,0.2833333333333333,0.22256462100585814,0.35315708724733375
