test,k,n,rate,ci_low,ci_high
random (two-sided),334,1680,0.1988095238095238,0.18042126396862354,0.21857208552458288
random (lower),59,1680,0.03511904761904762,0.027323386841066954,0.0450359134636648
random (upper),353,1680,0.21011904761904762,0.19131022971836584,0.23025056317331702
expression (two-sided),113,1680,0.06726190476190476,0.05624468807291644,0.08025366189064306
expression (lower),100,1680,0.05952380952380952,0.04918293788382521,0.07187452975446094
expression (upper),97,1680,0.05773809523809524,0.047560539130911315,0.0699336479707733
codetection (two-sided),128,1680,0.0761904761904762,0.06444848774471926,0.08986626490184796
codetection (lower),132,1680,0.07857142857142857,0.06664504476848479,0.09242074859355115
codetection (upper),73,1680,0.04345238095238095,0.034700519119705134,0.05428742368916714
