dataset,cell_type,gene_set,k,n_cells,max_rank,median_detected,depth_ratio,tie_break_inclusion,mean_tie_break,mean_detected_part,mean_total,score_tie_break_share
gse176078,B,BIOCARTA_41BB_PATHWAY,18,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003561730052157483,0.0678369497738485,0.07139867982600599,0.04988509676701573
gse176078,B,BIOCARTA_ACE2_PATHWAY,12,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003978647453193752,0.0023710672974993478,0.0063497147506931,0.6265868010463721
gse176078,B,BIOCARTA_ACH_PATHWAY,13,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.004177993644546113,0.018645277238857463,0.022823270883403576,0.1830584961239815
gse176078,B,BIOCARTA_ACTINY_PATHWAY,12,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0034336996777501122,0.0461407660232874,0.04957446570103751,0.06926347322545628
gse176078,B,BIOCARTA_AGPCR_PATHWAY,10,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.00365721033137654,0.04589629705382578,0.04955350738520233,0.07380325882782328
gse176078,B,BIOCARTA_AGR_PATHWAY,32,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0036571067628918498,0.040895170228712356,0.0445522769916042,0.08208574308291863
gse176078,B,BIOCARTA_AHSP_PATHWAY,11,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0039578763676581565,0.008201461868354375,0.01215933823601253,0.3255009681313119
gse176078,B,BIOCARTA_AKAP13_PATHWAY,10,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003348990520938825,0.06511534096638984,0.06846433148732865,0.04891584344993794
gse176078,B,BIOCARTA_AKAP95_PATHWAY,10,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0033927851944649218,0.0736757082545621,0.07706849344902701,0.044022985822460704
gse176078,B,BIOCARTA_AKAPCENTROSOME_PATHWAY,13,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0034355054872267595,0.05949035674066673,0.0629258622278935,0.05459608125486891
gse176078,B,BIOCARTA_AKT_PATHWAY,22,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0036117585620954024,0.0688661449268401,0.07247790348893549,0.04983254741421674
gse176078,B,BIOCARTA_ALK_PATHWAY,35,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003914587738587125,0.02212435211783263,0.026038939856419755,0.15033591076182026
gse176078,B,BIOCARTA_ALTERNATIVE_PATHWAY,8,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0038461784294425197,0.00284499668344121,0.006691175112883729,0.5748135962002814
gse176078,B,BIOCARTA_AMAN_PATHWAY,14,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0036935311648645924,0.011505418736937266,0.015198949901801857,0.24301225997374457
gse176078,B,BIOCARTA_AMI_PATHWAY,20,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003850380350821375,0.0017132002827478815,0.0055635806335692555,0.6920687601055231
gse176078,B,BIOCARTA_ARAP_PATHWAY,17,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0038129912575248512,0.03492620339895126,0.03873919465647611,0.09842722057949199
gse176078,B,BIOCARTA_ARENRF2_PATHWAY,20,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0031856482250847366,0.07604275117665635,0.07922839940174109,0.04020841326014129
gse176078,B,BIOCARTA_ARF_PATHWAY,17,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003490177864303242,0.034122303080139964,0.0376124809444432,0.0927930776344833
gse176078,B,BIOCARTA_ASBCELL_PATHWAY,13,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.003207736765204136,0.19776651171182472,0.20097424847702883,0.015960934246612084
gse176078,B,BIOCARTA_AT1R_PATHWAY,27,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0033303416179178025,0.08459316010843404,0.08792350172635185,0.037877718158712215
gse176078,B,BIOCARTA_ATM_PATHWAY,19,1713,1233,818.0,1.5073349633251834,0.016365819400956584,0.0036394058965347788,0.07831235188460753,0.0819517577811423,0.04440912550349509
