depth_programme_loading,detection,cutpoint_optimal_rate,n
0.0,0.01,0.20833333333333334,120
0.0,0.05,0.325,120
0.0,0.15,0.39166666666666666,120
0.3,0.01,0.3,120
0.3,0.05,0.5333333333333333,120
0.3,0.15,0.925,120
0.6,0.01,0.525,120
0.6,0.05,0.8,120
0.6,0.15,1.0,120
