depth_programme_loading,coexpr,cutpoint_optimal_rate,n
0.0,0.0,0.3111111111111111,180
0.0,0.6,0.3055555555555556,180
0.3,0.0,0.5944444444444444,180
0.3,0.6,0.5777777777777777,180
0.6,0.0,0.7944444444444444,180
0.6,0.6,0.7555555555555555,180
