test,k,n,rate,ci_low,ci_high
random (two-sided),19,240,0.07916666666666666,0.05126483412019705,0.12032852812808215
random (lower),4,240,0.016666666666666666,0.0064998355877797925,0.04206283788549137
random (upper),23,240,0.09583333333333334,0.0647086419470061,0.1396929039746086
expression (two-sided),8,240,0.03333333333333333,0.016985260309156956,0.0643855968374497
expression (lower),13,240,0.05416666666666667,0.031924882079320746,0.09045620465895525
expression (upper),13,240,0.05416666666666667,0.031924882079320746,0.09045620465895525
codetection (two-sided),8,240,0.03333333333333333,0.016985260309156956,0.0643855968374497
codetection (lower),12,240,0.05,0.02883001643094939,0.08534902438899274
codetection (upper),12,240,0.05,0.02883001643094939,0.08534902438899274
