tie_break_share_low,tie_break_share_high,n,rate,ci_low,ci_high
0.014499999999999999,0.077,67,0.7164179104477612,0.5990653510922904,0.8102986384279914
0.077,0.126,66,0.5606060606060606,0.4408242143005392,0.6737206987598716
0.126,0.199,67,0.6268656716417911,0.5071518645751268,0.7328201292815902
0.199,0.292,66,0.48484848484848486,0.36846762017425483,0.6028961515606425
0.292,0.463,67,0.7611940298507462,0.6467400924582429,0.8473198948938214
0.463,0.719,67,0.6865671641791045,0.5679519232318382,0.784948067733922
