test,k,n,rate,ci_low,ci_high
random (two-sided),217,1080,0.20092592592592592,0.17810714358546836,0.22586480213058457
random (lower),47,1080,0.04351851851851852,0.032882772299700526,0.057390197477432965
random (upper),225,1080,0.20833333333333334,0.18516684773683156,0.23356740272928822
expression (two-sided),73,1080,0.06759259259259259,0.05410083307824329,0.08414962713660729
expression (lower),80,1080,0.07407407407407407,0.059919089122697264,0.09124838774846174
expression (upper),51,1080,0.04722222222222222,0.03609727394404926,0.061556848208117625
codetection (two-sided),102,1080,0.09444444444444444,0.07841186087589727,0.11335195405794546
codetection (lower),109,1080,0.10092592592592593,0.0843509219335289,0.12032990965662228
codetection (upper),41,1080,0.03796296296296296,0.028105805275321902,0.05109543593926148
