test,k,n,rate,ci_low,ci_high
random (two-sided),117,600,0.195,0.16527922107883283,0.22860155825137565
random (lower),12,600,0.02,0.011477064060296744,0.03463039193478542
random (upper),128,600,0.21333333333333335,0.18243095322343883,0.24788322188473533
expression (two-sided),40,600,0.06666666666666667,0.04933734543081517,0.08950966345363401
expression (lower),20,600,0.03333333333333333,0.021679991886220933,0.05092447922010895
expression (upper),46,600,0.07666666666666666,0.05796811993944251,0.10075165027844246
codetection (two-sided),26,600,0.043333333333333335,0.029740793661155535,0.06273643877861014
codetection (lower),23,600,0.03833333333333333,0.02567709025890139,0.05686376151414639
codetection (upper),32,600,0.05333333333333334,0.03802886791437883,0.07432112585882264
