test,k,n,rate,ci_low,ci_high
random (two-sided),91,400,0.2275,0.1891226131151639,0.2710617760116621
random (lower),68,400,0.17,0.13636842234813634,0.20990992044765294
random (upper),63,400,0.1575,0.1250805930171134,0.19643556579366786
expression (two-sided),20,400,0.05,0.0325971756266401,0.07596420091307252
expression (lower),19,400,0.0475,0.030616832107668652,0.07299210763504237
expression (upper),23,400,0.0575,0.038617261729224514,0.08480142520149289
codetection (two-sided),20,400,0.05,0.0325971756266401,0.07596420091307252
codetection (lower),24,400,0.06,0.0406476805246611,0.0877234432030579
codetection (upper),16,400,0.04,0.024768847722620668,0.06398278162908555
