test,model,term,n,coef,se,z,p
naive,product alone,intercept,240,-1.1405148179867572,0.2516453636073076,-4.53223060277212,5.836408450486076e-06
naive,product alone,product,240,3.9216101101856435,0.5416552533364086,7.240048141377536,4.4852550381610035e-13
naive,share alone,intercept,240,-0.8905567873252828,0.148546392311508,-5.995142483553204,2.0330710522006555e-09
naive,share alone,share,240,-0.5682136887406368,0.16126852337652967,-3.5234010756951735,0.0004260461069039565
naive,product and share,intercept,240,-1.1428101649042601,0.2558502006353805,-4.466715922309992,7.942949024236237e-06
naive,product and share,product,240,3.957711652234339,0.5561499657834991,7.116267006613496,1.1088938020190943e-12
naive,product and share,share,240,-0.5166364704290203,0.30112991598095706,-1.715659730273001,0.08622433929321545
