detection,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
0.01,200,0.64,0.64,0.46,0.665,0.17,0.055,0.07
0.05,200,0.64,0.635,0.575,0.755,0.285,0.045,0.03
