detection,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
0.01,154,0.12987012987012986,0.12987012987012986,0.11038961038961038,0.24675324675324675,0.045454545454545456,0.012987012987012988,0.012987012987012988
0.05,120,0.10833333333333334,0.1,0.058333333333333334,0.325,0.025,0.041666666666666664,0.025
0.15,120,0.31666666666666665,0.31666666666666665,0.24166666666666667,0.5666666666666667,0.16666666666666666,0.05,0.05
